,Codi municipi,Habitants,Municipi,MUNICIPI_CODI,RECOMPTE,Taxa_vacunacio
0,25501938,366,ABELLA DE LA CONCA,,,
1,8161836,12550,ABRERA,7704963.0,11226.0,89.45019920318725
2,25503060,5416,AGRAMUNT,16401968.0,5619.0,103.74815361890694
3,8162346,564,AGUILAR DE SEGARRA,1376344.0,233.0,41.312056737588655
4,17341020,1726,AGULLANA,5049297.0,749.0,43.395133256083426
5,8174484,2514,AIGUAFREDA,5056834.0,2549.0,101.39220365950676
6,43861734,1860,AIGUAMÚRCIA,14577339.0,821.0,44.13978494623656
7,17342550,1530,AIGUAVIVA,5185610.0,680.0,44.44444444444444
8,25539474,2569,AITONA,11041758.0,2549.0,99.22148695990658
9,25504590,1622,"ALAMÚS, ELS",,,
10,25506222,722,"ALBAGÉS, L'",,,
11,17343162,310,ALBANYÀ,,,
12,25507854,2238,ALBATÀRREC,12603528.0,1792.0,80.07149240393208
13,25508466,3122,ALBESA,11578704.0,1636.0,52.40230621396541
14,25509792,1488,"ALBI, L'",,,
15,43862244,2470,ALBINYANA,22877064.0,2054.0,83.15789473684211
16,43863876,1000,"ALBIOL, L'",,,
17,17344692,1518,ALBONS,4880148.0,650.0,42.81949934123847
18,43864386,9443,ALCANAR,35005256.0,8484.0,89.84432913269089
19,25510200,476,ALCANÓ,4126650.0,269.0,56.51260504201681
20,25511934,9716,ALCARRÀS,19358514.0,8565.0,88.15356113627007
21,25512444,3438,ALCOLETGE,16382860.0,3058.0,88.94706224549157
22,43865712,5149,ALCOVER,24727875.0,4830.0,93.80462225674889
23,44782488,4151,"ALDEA, L'",,,
24,43867038,1810,ALDOVER,14536028.0,914.0,50.49723756906077
25,43867650,1786,"ALEIXAR, L'",,,
26,8163978,9913,ALELLA,8659246.0,9872.0,99.58640169474428
27,43868262,752,ALFARA DE CARLES,8730624.0,371.0,49.33510638297872
28,25514076,2767,ALFARRÀS,14282423.0,2792.0,100.90350560173474
29,43869588,3566,ALFORJA,20128212.0,1636.0,45.877734155917
30,25514586,594,ALFÉS,4652604.0,333.0,56.060606060606055
31,25515912,808,ALGERRI,4977985.0,444.0,54.95049504950495
32,25517238,3032,ALGUAIRE,14934552.0,2917.0,96.2071240105541
33,25517850,544,ALINS,,,
34,43871016,916,ALIÓ,9462200.0,408.0,44.54148471615721
35,25519788,6832,ALMACELLES,20615656.0,6830.0,99.97072599531616
36,25521216,610,ALMATRET,3878100.0,355.0,58.19672131147541
37,25521930,3360,ALMENAR,15162726.0,3464.0,103.09523809523809
38,43871730,2682,ALMOSTER,18666774.0,1262.0,47.054436987322894
39,17346324,3186,ALP,7278568.0,1232.0,38.6691776522285
40,8164488,522,ALPENS,1304652.0,251.0,48.08429118773947
41,25524072,6272,ALPICAT,21294573.0,6819.0,108.72130102040816
42,25524582,828,ALT ÀNEU,3753600.0,264.0,31.88405797101449
43,43872240,5312,ALTAFULLA,26710452.0,4732.0,89.08132530120481
44,25505916,640,ALÀS I CERC,3450690.0,213.0,33.28125
45,25522440,264,ALÒS DE BALAGUER,,,
46,17347956,2334,AMER,8435472.0,2296.0,98.3718937446444
47,43873872,6872,"AMETLLA DE MAR, L'",,,
48,8165814,8654,"AMETLLA DEL VALLÈS, L'",,,
49,44784120,3280,"AMPOLLA, L'",,,
50,43874382,21136,AMPOSTA,47143344.0,19225.0,90.95855412566237
51,25527846,2730,ANGLESOLA,8233883.0,1291.0,47.289377289377285
52,17348568,5659,ANGLÈS,11174256.0,4965.0,87.73634917830006
53,25529784,2128,ARBECA,11263050.0,2262.0,106.296992481203
54,43875708,254,ARBOLÍ,,,
55,43877034,5614,"ARBOÇ, L'",,,
56,17349894,6614,ARBÚCIES,12654696.0,5496.0,83.09646205019655
57,8166120,15956,ARENYS DE MAR,8558414.0,15962.0,100.03760340937578
58,8167752,9130,ARENYS DE MUNT,7566615.0,8105.0,88.77327491785323
59,17350302,792,ARGELAGUER,2942730.0,305.0,38.51010101010101
60,43877646,234,"ARGENTERA, L'",,,
61,8169690,12548,ARGENTONA,7976964.0,11794.0,93.99107427478482
62,8168364,438,ARGENÇOLA,,,
63,17352036,1902,"ARMENTERA, L'",,,
64,43879278,888,ARNES,8302474.0,517.0,58.22072072072072
65,25531926,120,ARRES,,,
66,25533456,162,ARSÈGUEL,,,
67,25534068,3070,ARTESA DE LLEIDA,12441401.0,1544.0,50.29315960912052
68,25535598,3403,ARTESA DE SEGRE,14019040.0,3887.0,114.22274463708493
69,8171118,5767,ARTÉS,5663070.0,5296.0,91.83284203225247
70,43879584,3288,ASCÓ,17336657.0,1609.0,48.935523114355234
71,25537230,440,ASPA,,,
72,25537842,866,"AVELLANES I SANTA LINYA, LES",,,
73,17352546,3282,AVINYONET DE PUIGVENTÓS,7042968.0,1400.0,42.656916514320535
74,8173974,3394,AVINYONET DEL PENEDÈS,3742071.0,1585.0,46.70005892751915
75,8172342,2291,AVINYÓ,3925880.0,2142.0,93.49628982976867
76,8171832,2222,AVIÀ,3861302.0,2145.0,96.53465346534654
77,8175810,26215,BADALONA,14587300.0,202758.0,773.4426854854091
78,9082590,13428,BADIA DEL VALLÈS,9064272.0,12602.0,93.8486744116771
79,8177136,2142,BAGÀ,3783552.0,2249.0,104.9953314659197
80,25539780,662,BAIX PALLARS,4031279.0,275.0,41.54078549848943
81,25541208,17489,BALAGUER,24113520.0,15255.0,87.22625650408828
82,8177748,3843,BALENYÀ,5010625.0,3414.0,88.8368462138954
83,8178360,3195,BALSARENY,4882962.0,3251.0,101.75273865414711
84,43881012,3210,BANYERES DEL PENEDÈS,24779520.0,2795.0,87.07165109034268
85,17356014,20073,BANYOLES,15926040.0,18051.0,89.92676729935735
86,25541922,1756,BARBENS,7812792.0,920.0,52.391799544419136
87,43881726,942,BARBERÀ DE LA CONCA,8776284.0,423.0,44.904458598726116
88,8417040,33367,BARBERÀ DEL VALLÈS,10760608.0,31535.0,94.50954535918721
89,8179686,8515,BARCELONA,141118362.0,1559869.0,18319.07222548444
90,25543452,458,"BARONIA DE RIALB, LA",,,
91,25545594,434,BASSELLA,,,
